AIRLINE,MONTH,DAY_OF_WEEK,TAXI_OUT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
"American Airlines Inc.",10,2,14,-9,929,-6
"American Airlines Inc.",12,3,13,0,912,-12
"Southwest Airlines Co.",12,5,16,-4,448,-2
"Southwest Airlines Co.",12,2,10,0,972,-5
"Delta Air Lines Inc.",8,2,12,-2,765,6
"United Air Lines Inc.",7,6,23,60,1514,79
"Delta Air Lines Inc.",12,4,15,-4,1532,-8
"Southwest Airlines Co.",1,2,36,65,323,81
"Delta Air Lines Inc.",7,5,16,-3,270,-8
"Southwest Airlines Co.",8,7,9,-1,377,-12
"Delta Air Lines Inc.",5,3,18,-8,731,-18
"Delta Air Lines Inc.",3,7,12,0,481,-16
"JetBlue Airways",9,7,17,0,2173,8
"United Air Lines Inc.",12,4,16,6,1065,-8
"Delta Air Lines Inc.",11,3,15,28,1276,31
"United Air Lines Inc.",11,2,24,11,594,17
"Delta Air Lines Inc.",12,3,17,0,447,9
"American Airlines Inc.",11,2,13,-5,599,-30
"Atlantic Southeast Airlines",7,1,12,11,190,13
"Delta Air Lines Inc.",4,1,12,2,700,-15
"American Eagle Airlines Inc.",9,5,14,22,461,7
"Alaska Airlines Inc.",5,7,13,-4,987,-10
"Southwest Airlines Co.",5,1,9,-3,1072,-5
"Southwest Airlines Co.",1,3,9,65,255,64
"Atlantic Southeast Airlines",2,5,36,-1,637,22
"US Airways Inc.",2,6,20,11,1671,-11
"Atlantic Southeast Airlines",5,1,8,-5,363,-15
"Delta Air Lines Inc.",11,4,14,0,306,0
"JetBlue Airways",11,7,10,14,632,-5
"United Air Lines Inc.",11,6,14,77,1346,63
"United Air Lines Inc.",1,5,15,12,1721,3
"Delta Air Lines Inc.",6,6,13,-6,1121,0
"Atlantic Southeast Airlines",6,4,12,127,140,113
"American Eagle Airlines Inc.",5,5,9,-1,130,-19
"United Air Lines Inc.",8,1,21,229,733,251
"American Airlines Inc.",9,4,33,-8,2475,-15
"American Airlines Inc.",6,5,11,47,1660,28
"JetBlue Airways",12,1,12,-2,474,-10
"Southwest Airlines Co.",11,1,23,2,1609,-20
"Hawaiian Airlines Inc.",7,5,15,15,100,22
"American Airlines Inc.",8,1,20,3,2279,1
"Skywest Airlines Inc.",11,2,23,1,588,3
"JetBlue Airways",6,2,15,31,1237,21
"Delta Air Lines Inc.",6,2,29,48,1096,61
"American Eagle Airlines Inc.",9,3,19,34,224,26
"American Airlines Inc.",11,7,41,90,192,102
"Atlantic Southeast Airlines",11,2,18,-5,296,-15
"Atlantic Southeast Airlines",3,2,49,23,419,35
"United Air Lines Inc.",2,3,17,-1,1546,-8
"American Airlines Inc.",11,2,13,-10,980,-21
"Southwest Airlines Co.",6,2,8,8,302,3
"Delta Air Lines Inc.",5,4,17,-6,1084,-8
"Delta Air Lines Inc.",3,7,11,-1,546,-13
"Southwest Airlines Co.",3,1,14,12,581,7
"Delta Air Lines Inc.",7,7,15,-2,545,-1
"American Airlines Inc.",10,1,12,-1,1979,-15
"American Airlines Inc.",4,6,12,-7,258,-13
"Delta Air Lines Inc.",11,2,13,-7,629,-9
"American Airlines Inc.",1,6,24,-4,2248,-33
"Alaska Airlines Inc.",8,1,14,16,2355,22
"Southwest Airlines Co.",7,4,9,31,1131,24
"Southwest Airlines Co.",7,3,11,7,1050,-1
"JetBlue Airways",2,3,25,-3,413,-11
"JetBlue Airways",8,7,18,-9,1188,-19
"Skywest Airlines Inc.",8,7,16,-7,313,-11
"Delta Air Lines Inc.",10,5,13,-5,669,-12
"United Air Lines Inc.",7,2,12,-2,2565,-13
"United Air Lines Inc.",1,7,13,0,2565,3
"Southwest Airlines Co.",12,3,26,4,587,22
"Delta Air Lines Inc.",5,7,15,13,1947,12
"American Airlines Inc.",10,1,12,-7,399,-5
"Delta Air Lines Inc.",2,4,20,8,321,5
"American Eagle Airlines Inc.",1,6,7,-3,196,-14
"American Airlines Inc.",4,3,14,-3,868,-10
"Delta Air Lines Inc.",5,3,11,-3,1590,-13
"Southwest Airlines Co.",11,3,7,-5,861,-3
"Atlantic Southeast Airlines",7,5,15,-1,668,-13
"Delta Air Lines Inc.",8,7,15,25,1121,20
"Alaska Airlines Inc.",3,7,12,-5,2541,17
"Frontier Airlines Inc.",10,7,21,-2,641,1
"American Airlines Inc.",1,7,12,14,867,7
"JetBlue Airways",11,3,14,-13,474,-17
"Southwest Airlines Co.",7,1,11,21,583,12
"American Airlines Inc.",11,2,9,-8,247,-23
"Delta Air Lines Inc.",8,2,9,-5,2519,-20
"Southwest Airlines Co.",6,1,7,-2,451,-14
"American Airlines Inc.",9,3,18,0,257,-11
"United Air Lines Inc.",11,1,12,-3,787,-12
"American Airlines Inc.",12,7,18,-9,1605,-7
"Delta Air Lines Inc.",4,5,14,59,558,50
"Southwest Airlines Co.",11,5,10,-4,945,-18
"Delta Air Lines Inc.",7,7,12,28,581,6
"Delta Air Lines Inc.",4,7,20,-4,1127,-11
"Atlantic Southeast Airlines",8,1,8,-4,594,-13
"Delta Air Lines Inc.",2,5,34,3,1399,9
"Atlantic Southeast Airlines",3,7,19,0,164,7
"JetBlue Airways",9,2,15,-14,612,-24
"Skywest Airlines Inc.",5,1,20,0,391,6
"Southwest Airlines Co.",5,5,14,3,680,-13
"Southwest Airlines Co.",10,4,20,-3,289,18
"US Airways Inc.",4,2,24,-1,184,-13
"Southwest Airlines Co.",1,4,10,13,1706,1
"Southwest Airlines Co.",5,2,19,-2,1733,5
"Southwest Airlines Co.",4,4,9,-2,829,-6
"Atlantic Southeast Airlines",10,2,26,0,262,11
"American Airlines Inc.",5,3,11,33,247,20
"Alaska Airlines Inc.",6,2,9,-9,123,-6
"American Airlines Inc.",7,6,54,35,651,86
"Southwest Airlines Co.",12,2,9,-2,1024,-6
"Skywest Airlines Inc.",10,1,15,-2,284,-5
"Atlantic Southeast Airlines",7,7,25,0,565,1
"United Air Lines Inc.",4,1,29,-2,1605,7
"American Eagle Airlines Inc.",4,1,11,-5,272,-23
"Spirit Air Lines",11,1,10,-6,177,-16
"Atlantic Southeast Airlines",3,4,14,-4,1214,-7
"United Air Lines Inc.",11,4,17,-2,888,0
"Skywest Airlines Inc.",12,4,15,-4,128,-17
"Skywest Airlines Inc.",1,4,36,-6,370,13
"Delta Air Lines Inc.",9,6,15,4,184,-4
"United Air Lines Inc.",12,4,33,-8,1190,4
"Atlantic Southeast Airlines",7,6,16,-1,224,0
"Southwest Airlines Co.",9,2,9,2,248,-5
"United Air Lines Inc.",12,4,18,0,1379,6
"Southwest Airlines Co.",8,1,10,3,1449,-12
"Atlantic Southeast Airlines",5,7,13,61,310,48
"Atlantic Southeast Airlines",10,1,12,-3,462,-20
"Southwest Airlines Co.",12,6,9,8,1014,-15
"Skywest Airlines Inc.",12,2,29,64,391,64
"Skywest Airlines Inc.",1,3,28,-12,200,0
"American Airlines Inc.",7,7,17,-1,1005,-20
"Skywest Airlines Inc.",2,7,5,-17,150,-17
"Skywest Airlines Inc.",1,2,18,-10,188,-14
"Southwest Airlines Co.",12,5,33,3,628,22
"American Airlines Inc.",9,6,14,9,631,1
"American Airlines Inc.",9,5,16,4,257,-8
"JetBlue Airways",4,5,15,-7,1226,-16
"Southwest Airlines Co.",3,7,10,-7,481,1
"United Air Lines Inc.",5,3,12,-3,649,-2
"Southwest Airlines Co.",9,7,17,2,2329,3
"Atlantic Southeast Airlines",7,3,12,32,489,45
"Delta Air Lines Inc.",6,4,13,8,594,-17
"Alaska Airlines Inc.",2,3,11,0,834,6
"JetBlue Airways",9,3,10,-2,857,-3
"Skywest Airlines Inc.",1,5,11,-3,391,-8
"United Air Lines Inc.",10,1,10,-6,1005,-30
"Delta Air Lines Inc.",12,5,11,0,425,-13
"Southwest Airlines Co.",1,1,9,14,1218,-1
"Southwest Airlines Co.",2,1,16,0,255,2
"JetBlue Airways",6,2,21,-6,2475,-42
"Skywest Airlines Inc.",2,3,16,-12,363,-7
"Delta Air Lines Inc.",2,4,17,-12,680,-37
"American Airlines Inc.",4,5,24,-5,986,13
"Delta Air Lines Inc.",4,7,13,-1,457,-5
"Delta Air Lines Inc.",4,3,13,11,404,6
"Southwest Airlines Co.",4,4,17,-3,358,5
"United Air Lines Inc.",9,3,14,-8,337,-20
"United Air Lines Inc.",7,5,19,45,1024,31
"Southwest Airlines Co.",5,7,6,-1,338,-5
"JetBlue Airways",4,4,33,-3,1826,-43
"Delta Air Lines Inc.",6,1,13,10,666,-7
"Atlantic Southeast Airlines",3,4,14,5,1092,7
"Southwest Airlines Co.",8,7,10,-2,1313,-17
"Frontier Airlines Inc.",1,5,8,-8,1024,-20
"American Airlines Inc.",11,6,10,-4,1947,10
"Southwest Airlines Co.",3,3,10,-2,337,-5
"Atlantic Southeast Airlines",9,1,20,-5,588,-8
"Skywest Airlines Inc.",8,7,38,23,1352,34
"Delta Air Lines Inc.",9,3,12,-1,373,-9
"Southwest Airlines Co.",2,5,10,-2,671,9
"Atlantic Southeast Airlines",3,7,11,-4,572,-5
"United Air Lines Inc.",3,2,33,-2,2586,8
"United Air Lines Inc.",11,4,18,-3,447,-15
"American Airlines Inc.",11,2,15,-9,944,-19
"Delta Air Lines Inc.",4,6,13,-3,341,-8
"Atlantic Southeast Airlines",7,7,30,21,1017,36
"American Eagle Airlines Inc.",8,4,11,-5,108,-7
"Southwest Airlines Co.",7,4,14,111,425,101
"Atlantic Southeast Airlines",7,1,35,120,246,135
"Southwest Airlines Co.",4,3,8,-3,544,-7
"Delta Air Lines Inc.",8,4,12,-3,632,-5
"American Eagle Airlines Inc.",7,7,10,7,606,-2
"American Airlines Inc.",6,4,31,194,919,208
"JetBlue Airways",11,4,17,-4,2381,-20
"Delta Air Lines Inc.",3,7,26,0,481,4
"Southwest Airlines Co.",11,4,8,-3,860,-12
"Delta Air Lines Inc.",12,5,27,9,332,13
"Southwest Airlines Co.",1,4,11,64,849,62
"Skywest Airlines Inc.",8,4,29,12,749,19
"Delta Air Lines Inc.",10,5,13,-2,874,-14
"Atlantic Southeast Airlines",6,2,7,-5,651,-22
"American Airlines Inc.",3,4,12,26,641,39
"United Air Lines Inc.",12,3,10,-4,1491,-23
"Atlantic Southeast Airlines",7,4,7,39,76,28
"Southwest Airlines Co.",4,2,11,-1,189,-4
"American Airlines Inc.",4,3,19,1,236,0
"American Airlines Inc.",5,3,17,67,282,61
"Atlantic Southeast Airlines",2,4,11,-6,554,-19
"Southwest Airlines Co.",11,1,9,12,621,9
"Delta Air Lines Inc.",3,6,14,69,1547,66
"Southwest Airlines Co.",5,5,7,-4,390,-2
"American Airlines Inc.",4,5,17,81,2248,76
"US Airways Inc.",4,3,25,-4,430,1
"American Eagle Airlines Inc.",6,7,15,22,108,10
"United Air Lines Inc.",12,4,18,-6,588,-7
"Delta Air Lines Inc.",10,4,17,-1,440,9
"Southwest Airlines Co.",7,5,9,-3,1984,-24
"Southwest Airlines Co.",9,2,9,-1,787,-4
"Skywest Airlines Inc.",8,1,22,-4,296,-4
"JetBlue Airways",9,6,10,-1,2465,16
"Southwest Airlines Co.",3,5,6,22,1390,11
"American Airlines Inc.",11,3,12,3,1067,-22
"Skywest Airlines Inc.",1,1,14,23,262,14
"Atlantic Southeast Airlines",7,1,14,6,866,-30
"Frontier Airlines Inc.",2,5,13,-7,1028,-25
"American Airlines Inc.",10,6,10,-4,731,-13
"United Air Lines Inc.",11,4,17,11,2565,5
"American Eagle Airlines Inc.",1,3,20,-3,408,17
"Delta Air Lines Inc.",10,6,19,4,2519,-2
"Skywest Airlines Inc.",10,5,20,-8,130,1
"United Air Lines Inc.",11,2,19,-2,1721,-21
"JetBlue Airways",12,6,20,85,944,78
"United Air Lines Inc.",8,2,10,2,2007,-28
"American Airlines Inc.",7,2,21,25,802,24
"American Eagle Airlines Inc.",4,6,10,16,265,0
"American Airlines Inc.",6,6,11,5,1188,2
"American Airlines Inc.",8,1,21,-4,192,-3
"Alaska Airlines Inc.",3,4,7,0,569,1
"Skywest Airlines Inc.",7,4,13,-12,438,-36
"United Air Lines Inc.",7,4,11,36,836,25
"Spirit Air Lines",11,3,14,-9,763,-12
"Skywest Airlines Inc.",3,7,13,-3,751,-12
"United Air Lines Inc.",7,7,18,21,2454,53
"JetBlue Airways",7,4,16,0,1562,-18
"American Eagle Airlines Inc.",9,1,11,-7,408,-26
"Southwest Airlines Co.",8,3,15,-1,405,-9
"American Airlines Inc.",7,6,14,-7,678,-28
"American Airlines Inc.",8,5,14,-2,1709,-13
"Delta Air Lines Inc.",4,4,18,-8,1145,-6
"Atlantic Southeast Airlines",9,4,16,-9,831,-16
"Delta Air Lines Inc.",6,2,23,17,1127,15
"Atlantic Southeast Airlines",1,4,18,2,984,-4
"United Air Lines Inc.",10,3,18,-4,854,-17
"United Air Lines Inc.",8,2,36,16,1372,28
"Southwest Airlines Co.",4,3,10,-2,372,-5
"Atlantic Southeast Airlines",6,2,8,-11,253,-19
"JetBlue Airways",9,2,12,7,1023,0
"Frontier Airlines Inc.",12,4,10,-7,991,-20
"Alaska Airlines Inc.",7,3,8,-1,2537,-18
"Atlantic Southeast Airlines",10,2,11,-1,427,-10
"Skywest Airlines Inc.",12,4,30,-6,1195,0
"Atlantic Southeast Airlines",7,2,19,-1,304,13
"Delta Air Lines Inc.",8,2,22,-5,184,0
"American Airlines Inc.",9,5,39,-9,2586,-6
"American Airlines Inc.",6,3,16,45,978,46
"United Air Lines Inc.",6,3,12,-4,1167,-20
"United Air Lines Inc.",10,4,17,-1,689,-13
"Southwest Airlines Co.",11,4,38,-5,2106,1
"American Airlines Inc.",8,6,12,-5,2089,-13
"Delta Air Lines Inc.",9,3,20,-8,1927,-27
"Delta Air Lines Inc.",12,6,10,-1,712,-10
"US Airways Inc.",4,4,10,-1,1671,-22
"United Air Lines Inc.",12,6,15,4,3904,-19
"Southwest Airlines Co.",6,2,15,13,721,-6
"American Airlines Inc.",9,1,36,-3,268,13
"American Airlines Inc.",12,7,39,3,213,12
"US Airways Inc.",6,1,26,7,646,13
"Southwest Airlines Co.",2,1,17,-4,621,3
"Delta Air Lines Inc.",8,5,20,-2,1599,-9
"JetBlue Airways",5,6,27,-3,828,-16
"Southwest Airlines Co.",11,6,9,23,442,24
"Skywest Airlines Inc.",7,2,21,-7,265,-4
"Skywest Airlines Inc.",1,4,11,-8,370,-14
"US Airways Inc.",5,5,16,-4,370,0
"Alaska Airlines Inc.",1,4,10,-5,937,-23
"Southwest Airlines Co.",4,1,6,24,307,11
"Alaska Airlines Inc.",6,3,11,-2,1107,-12
"US Airways Inc.",3,5,9,-4,651,-14
"Southwest Airlines Co.",6,7,14,-3,717,-1
"Skywest Airlines Inc.",10,5,13,-8,89,-15
"US Airways Inc.",1,3,23,-2,2917,23
"Atlantic Southeast Airlines",9,1,12,-1,772,10
"Spirit Air Lines",8,2,11,0,1954,4
"Southwest Airlines Co.",4,7,54,-3,861,33
"Skywest Airlines Inc.",1,4,13,-5,192,-11
"Atlantic Southeast Airlines",4,3,7,-10,770,-32
"Hawaiian Airlines Inc.",8,3,16,-3,216,3
"Skywest Airlines Inc.",5,6,14,-11,493,-12
"Southwest Airlines Co.",12,5,6,-1,448,-20
"JetBlue Airways",12,6,11,-9,1173,-2
"Skywest Airlines Inc.",2,5,21,-6,296,-17
"American Airlines Inc.",12,2,13,-7,926,-30
"JetBlue Airways",11,7,13,13,1076,-15
"Skywest Airlines Inc.",1,2,18,-6,209,-10
"JetBlue Airways",5,6,18,-5,1182,-6
"American Airlines Inc.",2,5,12,27,237,20
"Virgin America",6,6,9,-5,337,-8
"United Air Lines Inc.",3,1,13,140,1068,156
"American Airlines Inc.",8,5,12,-4,912,-19
"American Airlines Inc.",1,4,14,39,1192,46
"Hawaiian Airlines Inc.",3,5,15,-7,163,-1
"Southwest Airlines Co.",1,4,13,-3,345,-1
"Alaska Airlines Inc.",4,1,14,-3,1050,8
"American Airlines Inc.",10,4,29,-3,399,2
"Delta Air Lines Inc.",11,7,14,-2,1892,-13
"Southwest Airlines Co.",7,4,8,9,735,3
"Skywest Airlines Inc.",5,3,12,67,326,57
"Delta Air Lines Inc.",6,5,19,-2,581,5
"Atlantic Southeast Airlines",4,1,6,183,190,182
"American Airlines Inc.",11,5,19,-1,1171,16
"United Air Lines Inc.",4,7,15,4,1400,-1
"Virgin America",7,1,15,-3,679,-3
"Atlantic Southeast Airlines",10,5,16,19,190,16
"Delta Air Lines Inc.",7,7,28,19,425,15
"Skywest Airlines Inc.",5,5,9,-16,157,-25
"American Eagle Airlines Inc.",6,4,17,7,606,-12
"US Airways Inc.",2,7,9,1,1032,-10
"American Airlines Inc.",4,2,11,-7,550,-17
"United Air Lines Inc.",12,3,34,19,1182,45
"Southwest Airlines Co.",9,4,16,3,577,5
"Skywest Airlines Inc.",7,1,8,-11,461,-15
"Atlantic Southeast Airlines",4,4,13,-8,562,-14
"Southwest Airlines Co.",5,3,13,40,972,30
"Spirit Air Lines",4,1,19,19,177,27
"American Airlines Inc.",10,5,10,12,1464,8
"Southwest Airlines Co.",7,5,29,108,507,125
"Skywest Airlines Inc.",3,4,12,-6,391,-22
"American Airlines Inc.",3,3,16,-6,1372,-18
"Southwest Airlines Co.",8,1,10,-3,362,12
"JetBlue Airways",5,1,11,-6,805,-11
"Skywest Airlines Inc.",9,5,16,-6,697,-13
"JetBlue Airways",9,7,21,15,2248,-18
"Delta Air Lines Inc.",11,5,22,10,2454,-11
"Southwest Airlines Co.",9,6,12,26,228,16
"Delta Air Lines Inc.",8,4,21,0,332,-11
"Spirit Air Lines",12,1,13,3,1299,3
"Southwest Airlines Co.",2,4,23,-3,404,6
"Skywest Airlines Inc.",6,2,16,-3,557,-10
"Southwest Airlines Co.",3,1,14,-2,1216,3
"Delta Air Lines Inc.",1,1,20,-2,306,-1
"American Airlines Inc.",10,5,20,-3,1471,-16
"US Airways Inc.",1,7,14,-3,2089,-17
"Alaska Airlines Inc.",6,7,12,17,1448,16
"US Airways Inc.",4,3,26,-2,1262,-8
"Atlantic Southeast Airlines",2,5,10,-10,157,-13
"Skywest Airlines Inc.",10,4,11,-10,436,0
"Delta Air Lines Inc.",11,2,13,0,2182,-20
"Delta Air Lines Inc.",9,4,15,-1,270,-7
"United Air Lines Inc.",4,3,33,1,2358,13
"Skywest Airlines Inc.",10,1,11,-6,399,-3
"JetBlue Airways",12,4,22,26,1237,12
"JetBlue Airways",3,5,14,2,1072,24
"Southwest Airlines Co.",10,6,20,-4,371,-25
"Delta Air Lines Inc.",7,2,17,2,813,-14
"Delta Air Lines Inc.",8,3,20,2,1589,-4
"United Air Lines Inc.",11,7,14,0,2065,-36
"Atlantic Southeast Airlines",1,7,11,8,489,2
"Delta Air Lines Inc.",12,7,27,11,1086,23
"United Air Lines Inc.",8,2,9,17,1440,-3
"Delta Air Lines Inc.",4,4,12,-2,282,-14
"Skywest Airlines Inc.",1,2,11,-5,86,-5
"American Eagle Airlines Inc.",3,2,30,11,409,19
"Virgin America",7,4,12,21,414,14
"Atlantic Southeast Airlines",5,7,17,-5,466,-8
"Southwest Airlines Co.",11,2,10,182,1903,169
"Southwest Airlines Co.",4,5,13,0,391,-9
"Skywest Airlines Inc.",10,6,14,251,667,241
"US Airways Inc.",5,4,19,-1,468,7
"American Airlines Inc.",4,3,14,-10,867,-24
"JetBlue Airways",2,4,22,-6,1069,22
"Delta Air Lines Inc.",12,4,19,-5,594,-14
"Delta Air Lines Inc.",2,2,13,31,317,26
"Spirit Air Lines",3,7,8,-7,1979,-29
"American Airlines Inc.",7,3,24,0,899,3
"American Airlines Inc.",5,3,16,125,978,116
"Atlantic Southeast Airlines",8,1,10,-1,1042,-4
"Atlantic Southeast Airlines",11,1,17,19,487,19
"Southwest Airlines Co.",2,6,5,-5,342,-12
"American Airlines Inc.",5,7,15,-3,2475,-16
"Skywest Airlines Inc.",5,2,15,1,298,1
"Southwest Airlines Co.",8,4,12,-4,327,-4
"Skywest Airlines Inc.",10,2,18,-2,1337,1
"American Eagle Airlines Inc.",6,3,16,-1,557,-5
"Southwest Airlines Co.",12,5,18,-6,738,-13
"Atlantic Southeast Airlines",10,7,10,-6,190,-20
"Southwest Airlines Co.",10,7,12,-5,846,-6
"Southwest Airlines Co.",5,2,32,-4,814,-28
"Southwest Airlines Co.",8,3,10,23,917,11
"Atlantic Southeast Airlines",4,4,23,0,295,6
"American Airlines Inc.",12,4,22,1,936,-18
"Atlantic Southeast Airlines",11,4,13,-7,376,-17
"Delta Air Lines Inc.",7,5,10,-2,680,1
"Southwest Airlines Co.",11,5,7,0,528,-14
"JetBlue Airways",9,4,15,-12,937,-15
"JetBlue Airways",4,6,21,40,1609,38
"Delta Air Lines Inc.",9,3,8,-6,757,-9
"Southwest Airlines Co.",3,7,22,3,1618,5
"Southwest Airlines Co.",7,2,15,-1,347,1
"Skywest Airlines Inc.",10,2,19,73,615,69
"Delta Air Lines Inc.",5,7,18,0,227,-5
"JetBlue Airways",1,7,17,-10,740,-18
"Southwest Airlines Co.",5,1,7,-2,342,-4
"Atlantic Southeast Airlines",2,7,17,28,363,24
"United Air Lines Inc.",11,3,14,-3,1190,-17
"Frontier Airlines Inc.",10,2,11,-4,1546,-17
"Spirit Air Lines",2,2,21,-4,888,-1
"American Airlines Inc.",10,6,12,-1,1744,-17
"United Air Lines Inc.",5,3,8,-12,909,-9
"United Air Lines Inc.",5,6,10,0,937,-24
"Skywest Airlines Inc.",4,3,17,-3,936,16
"Alaska Airlines Inc.",7,2,15,10,909,5
"Skywest Airlines Inc.",7,4,17,-5,363,-9
"Spirit Air Lines",3,4,9,38,602,23
"American Eagle Airlines Inc.",9,1,22,-1,122,-3
"Southwest Airlines Co.",11,4,9,10,937,-2
"Alaska Airlines Inc.",9,2,11,-7,1448,-22
"Delta Air Lines Inc.",12,6,22,-3,1589,-3
"Atlantic Southeast Airlines",9,2,11,-5,265,-20
"US Airways Inc.",2,5,12,-2,546,-2
"Southwest Airlines Co.",2,5,8,-8,273,-15
"Virgin America",7,1,17,-3,2611,-1
"Skywest Airlines Inc.",6,2,26,9,916,20
"Alaska Airlines Inc.",1,6,12,-4,599,-13
"Skywest Airlines Inc.",9,7,17,-6,783,6
"Skywest Airlines Inc.",3,5,15,103,751,94
"Atlantic Southeast Airlines",12,2,8,-6,310,-14
"Delta Air Lines Inc.",8,3,19,-7,957,-7
"JetBlue Airways",4,2,10,-11,1028,-25
"American Airlines Inc.",8,4,23,-4,2342,-11
"Southwest Airlines Co.",1,5,6,20,1216,24
"Skywest Airlines Inc.",4,5,27,-4,508,5
"Southwest Airlines Co.",6,3,8,-5,2149,-20
"American Airlines Inc.",6,5,20,5,1660,-12
"Atlantic Southeast Airlines",5,7,13,-2,292,-14
"Skywest Airlines Inc.",3,5,20,-6,160,-5
"Atlantic Southeast Airlines",3,5,11,-8,429,-11
"Southwest Airlines Co.",6,4,10,-3,971,-11
"Virgin America",9,4,18,-2,447,2
"Southwest Airlines Co.",6,5,16,22,236,23
"Alaska Airlines Inc.",7,1,12,-15,679,-15
"Delta Air Lines Inc.",6,3,14,-3,991,-7
"US Airways Inc.",3,1,19,-8,331,-15
"Skywest Airlines Inc.",10,6,26,5,1436,17
"American Airlines Inc.",5,5,47,-6,919,20
"American Airlines Inc.",5,4,26,8,1303,14
"American Eagle Airlines Inc.",8,2,13,-14,409,-26
"Delta Air Lines Inc.",9,7,14,-6,306,-5
"Hawaiian Airlines Inc.",4,1,14,-5,163,0
"Atlantic Southeast Airlines",4,4,9,-5,651,2
"United Air Lines Inc.",3,1,13,-5,1546,-29
"Southwest Airlines Co.",2,3,15,-5,1184,-31
"Spirit Air Lines",1,2,4,-12,1979,-6
"Atlantic Southeast Airlines",10,4,76,11,419,64
"Atlantic Southeast Airlines",10,2,13,-14,468,-28
"United Air Lines Inc.",11,2,10,-5,550,-34
"Delta Air Lines Inc.",6,4,27,0,1919,-2
"Skywest Airlines Inc.",9,2,14,-7,451,-18
"American Airlines Inc.",9,3,11,-2,1660,-14
"Southwest Airlines Co.",7,2,10,-4,283,-5
"Spirit Air Lines",8,2,8,-2,529,-4
"US Airways Inc.",3,5,15,-5,500,-13
"Skywest Airlines Inc.",3,4,17,1,1014,4
"US Airways Inc.",6,3,20,-6,678,10
"United Air Lines Inc.",7,3,14,-1,413,-8
"Southwest Airlines Co.",8,2,10,-4,2110,-9
"Delta Air Lines Inc.",7,7,31,-8,352,-8
"Delta Air Lines Inc.",10,4,17,-3,406,-8
"Skywest Airlines Inc.",2,5,14,11,679,11
"Alaska Airlines Inc.",7,2,8,-9,680,-4
"US Airways Inc.",1,2,17,2,759,-1
"American Airlines Inc.",7,3,121,12,650,105
"Spirit Air Lines",7,5,16,54,852,55
"Delta Air Lines Inc.",3,7,32,4,1990,4
"American Eagle Airlines Inc.",6,3,21,-1,304,3
"United Air Lines Inc.",10,2,22,5,200,9
"Skywest Airlines Inc.",4,7,19,7,109,4
"Skywest Airlines Inc.",6,7,33,-10,190,0
"JetBlue Airways",7,2,16,-5,1065,-24
"Southwest Airlines Co.",8,5,8,3,819,-11
"Hawaiian Airlines Inc.",11,6,16,-7,163,-4
"Delta Air Lines Inc.",5,7,13,-4,447,-10
"Atlantic Southeast Airlines",4,7,31,-2,201,10
"Atlantic Southeast Airlines",7,4,13,-7,228,-18
"Delta Air Lines Inc.",7,6,11,23,205,15
"Southwest Airlines Co.",3,6,12,-8,925,-16
"Hawaiian Airlines Inc.",9,2,12,-5,100,-7
"American Airlines Inc.",6,2,49,36,1096,68
"American Eagle Airlines Inc.",12,4,13,-1,416,-16
"Atlantic Southeast Airlines",11,2,18,-2,408,5
"Southwest Airlines Co.",12,4,12,-3,528,-11
"Atlantic Southeast Airlines",7,7,20,3,323,6
"Southwest Airlines Co.",9,6,7,-5,192,-1
"Delta Air Lines Inc.",11,1,12,-5,588,-26
"Hawaiian Airlines Inc.",8,5,11,-7,163,-4
"United Air Lines Inc.",7,3,13,21,689,7
"American Airlines Inc.",12,1,12,3,621,4
"Southwest Airlines Co.",3,7,46,-1,523,31
"Skywest Airlines Inc.",5,1,24,-4,128,-10
"Delta Air Lines Inc.",9,5,24,-6,352,-9
"Skywest Airlines Inc.",3,3,4,14,125,3
"JetBlue Airways",10,7,10,0,1028,-18
"JetBlue Airways",1,3,11,-8,1050,-30
"Alaska Airlines Inc.",5,7,12,-3,1448,-9
"Southwest Airlines Co.",4,4,6,52,236,29
"Atlantic Southeast Airlines",1,1,9,33,533,19
"Southwest Airlines Co.",11,6,10,-1,991,-18
"Southwest Airlines Co.",4,3,10,-2,1173,-14
"Southwest Airlines Co.",8,5,13,-3,533,-1
"Southwest Airlines Co.",11,6,12,18,547,12
"Atlantic Southeast Airlines",2,2,32,-2,528,5
"Skywest Airlines Inc.",12,7,18,19,235,11
"Delta Air Lines Inc.",6,6,11,-4,373,-11
"Virgin America",7,2,1,23,954,15
"Southwest Airlines Co.",3,1,15,0,1845,-16
"JetBlue Airways",12,4,14,29,1674,26
"United Air Lines Inc.",5,6,16,169,177,164
"Spirit Air Lines",12,6,18,13,1723,23
"American Airlines Inc.",5,3,20,27,190,28
"Atlantic Southeast Airlines",9,4,31,0,529,6
"American Eagle Airlines Inc.",4,6,18,69,821,65
"Skywest Airlines Inc.",5,3,13,-5,546,-25
"Southwest Airlines Co.",4,2,9,-1,829,-10
"American Airlines Inc.",10,3,12,-3,1262,-7
"Southwest Airlines Co.",3,4,20,13,1506,20
"Skywest Airlines Inc.",6,4,18,-2,363,-10
"Southwest Airlines Co.",5,3,10,-5,1587,-10
"Southwest Airlines Co.",5,1,9,-6,1024,-19
"Alaska Airlines Inc.",2,2,23,96,679,102
"United Air Lines Inc.",2,1,20,-4,2425,-15
